hotel,is_canceled,lead_time,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,arrival_date_month_num,arrival_date,room_assignment_changed,total_stay_nights,total_people,is_adr_0,Agent_check,foreigner,arrival_weekday,customer_name,status
Resort Hotel,1,122,31,1,0,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,209.0,0,0,08,2017-08-01,0,1,2.0,0,1,1,1,Guest_0001,Expected
Resort Hotel,1,78,31,1,0,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,230.0,0,1,08,2017-08-01,0,3,2.0,0,1,1,1,Guest_0002,Expected
Resort Hotel,1,67,31,1,0,4,1,0.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,188.6,0,1,08,2017-08-01,0,4,1.0,0,1,0,1,Guest_0003,Expected
Resort Hotel,1,69,31,1,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,230.0,0,1,08,2017-08-01,0,4,2.0,0,1,0,1,Guest_0004,Expected
Resort Hotel,1,198,31,1,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,157.31,0,0,08,2017-08-01,0,4,2.0,0,1,1,1,Guest_0005,Expected
Resort Hotel,1,98,31,1,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,230.0,0,1,08,2017-08-01,0,4,2.0,0,1,1,1,Guest_0006,Expected
Resort Hotel,1,159,31,1,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,218.0,0,1,08,2017-08-01,0,4,2.0,0,1,1,1,Guest_0007,Expected
Resort Hotel,1,298,31,1,0,5,2,0.0,0,HB,Online TA,TA/TO,0,0,0,0,0,Transient,167.18,0,2,08,2017-08-01,0,5,2.0,0,1,1,1,Guest_0008,Expected
Resort Hotel,1,298,31,1,0,5,3,0.0,0,HB,Online TA,TA/TO,0,0,0,1,0,Transient,218.18,0,3,08,2017-08-01,0,5,3.0,0,1,1,1,Guest_0009,Expected
Resort Hotel,1,334,31,1,0,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,156.6,0,0,08,2017-08-01,0,5,2.0,0,1,0,1,Guest_0010,Expected
Resort Hotel,1,334,31,1,1,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,156.6,0,0,08,2017-08-01,0,6,2.0,0,1,0,1,Guest_0011,Expected
Resort Hotel,1,195,31,1,1,5,2,0.0,0,HB,Online TA,TA/TO,0,0,0,0,0,Transient,231.0,0,0,08,2017-08-01,0,6,2.0,0,1,1,1,Guest_0012,Expected
Resort Hotel,1,181,31,1,1,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,166.67,0,1,08,2017-08-01,0,6,2.0,0,1,1,1,Guest_0013,Expected
Resort Hotel,1,176,31,1,2,5,2,2.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,150.17,0,0,08,2017-08-01,0,7,4.0,0,1,0,1,Guest_0014,Expected
Resort Hotel,1,136,31,1,2,5,3,1.0,0,BB,Online TA,TA/TO,0,0,0,0,0,Transient,301.43,0,0,08,2017-08-01,0,7,4.0,0,1,1,1,Guest_0015,Expected
